JOB,LOG_USER,PRIV_USER,SCHEMA_USER,LAST_DATE,NEXT_DATE,BROKEN,INTERVAL,FAILURES,WHAT,INSTANCE
42,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,EAI_OWNER.WA_ERR_INTERCOMPANY( 2 );,0
103,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 5/24,0,"EAI_OWNER.WA_DEPURA_MESSAGE_LOG( 2, 0 );",0
189,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 30/1440,0,T3.PROC_T3_OT_DOCTOS_INTERCO;,0
208,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,EAI_Owner.Proc_Receive_Reference;,0
216,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,01-JAN-00,Y,SYSDATE + 5/1440,0,EAI_Owner.RECV_TO_SEND_V3.Recv_Replenishment;,0
227,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,EAI_OWNER.WA_ERR_INVOICE_AMPERSAND( 1 );,0
229,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,01-JAN-00,Y,SYSDATE + 10/1440,0,EAI_Owner.RECV_TO_SEND_V3.Recv_Invoice_Intercompany;,0
236,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,01-JAN-00,Y,SYSDATE + 10/1440,0,EAI_Owner.RECV_TO_SEND_V3.Recv_Payment;,0
249,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 30/1440,0,T3.PROC_T3_OT_Doctos;,0
250,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,T3.PROC_CFDI_LIBERACION_PAC;,0
266,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 5/24,0,T3.WA_CFDI_COBRANZA(2);,0
327,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,T3.PROC_CFDI_LIBERACION_REMISION ;,0
347,SYS,EAI_OWNER,EAI_OWNER,16-JUL-26,17-JUL-26,N,TRUNC( SYSDATE + 1 ) + 1420/1440,0,T3.PROC_CFDI_LIBERACION_NOTA;,0
468,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 2/24,0,T3.WA_CFDI_COBRANZA_FIX ;,0
471,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,T3.PROC_CFDI_LIBERACION_PAGO;,0
508,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 1/24,0,T3.PROC_CFDI_LIBERACION_AGR;,0
550,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,01-JAN-00,Y,SYSDATE + 10/1440,0,EAI_Owner.RECV_TO_SEND_V3.Recv_Invoice;,0
568,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 160/1440,0,EAI.SF_BITACORA_CFDI( 000 );,0
569,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 160/1440,0,"EAI.SF_BITACORA_CFDI_RESUMEN( NULL, NULL );",0
589,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) +  90/1440,0,T3.PROC_T3_EOD;,0
648,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,01-JAN-00,Y,SYSDATE + 10/1440,0,EAI_Owner.RECV_TO_SEND_V3.Recv_Customer;,0
649,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 6/24,0,EAI_OWNER.WA_ERR_CUSTOMER_AMPERSAND( 2 );,0
668,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 5/24,0,T3.PROC_CFDI_PROCESA_PAGO_AGR(4);,0
688,SYS,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 15/1440,0,EAI_OWNER.WA_RUN_STATEMENTS(0);,0
729,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 5/24,0,T3.PROC_CFDI_CARTAPORTE_REP(1);,0
750,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 7/24,0,EAI_OWNER.SF_JOB_MANAGE( 'Resume' );,0
769,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 10/1440,0,EAI_OWNER.WA_ERR_REPLENISH_AMPERSAND(2);,0
789,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,SYSDATE + 720/1440,0,T3.WA_V40_REGIMEN ;,0
809,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 120/1440,0,T3.PROC_CFDI_LIBERA_PAGO_CENTRAL;,0
829,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 330/1440,0,EAI.SF_CFDI_VENTA( 000 );,0
830,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 330/1440,0,EAI.SF_CFDI_NOTA_CREDITO( 000 );,0
849,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 5/24,0,EAI.SF_CFDI_OPEN_ITEMS( 000 );,0
869,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 30/1440,0,EAI_Owner.WA_ERR_PRODUCT_AMPERSAND(1);,0
889,EAI_OWNER,EAI_OWNER,EAI_OWNER,16-JUL-26,17-JUL-26,N,TRUNC( SYSDATE + 1 ) + 21/24,0,"EAI_OWNER.SF_PROC_CENTRAL_INCOBRABLE( 5, NULL, 1, 11 ) ;",0
910,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,17-JUL-26,N,SYSDATE + 1/24,0,T3.WA_UPD_SUBDEPOSITOS(NULL);,0
929,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 8/24,0,"T3.WA_SET_FECHA_EMISION( 120, 10000 );",0
951,EAI_OWNER,EAI_OWNER,EAI_OWNER,17-JUL-26,18-JUL-26,N,TRUNC( SYSDATE + 1 ) + 455/1440,0,T3.PROC_T3_BOD( 'NO' );,0
